epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,36.5483,1.28364,3.80242,1.1156,0.28998,0.32501,0.20248,0.14298,1.03828,2.33558,0.98762,0.000138178,0.000138178,0.000138178
2,70.2699,1.19705,2.44615,1.08924,0.38031,0.60656,0.42942,0.30322,1.03135,1.62323,1.03563,0.000275805,0.000275805,0.000275805
3,103.489,1.14204,1.88964,1.09031,0.51227,0.61955,0.58292,0.42479,0.96237,1.50878,1.02548,0.000412057,0.000412057,0.000412057
4,137.054,1.09578,1.59468,1.07715,0.72095,0.71196,0.74999,0.5459,0.91898,1.08239,1.00839,0.000410808,0.000410808,0.000410808
5,170.249,1.07705,1.47584,1.0703,0.76317,0.77778,0.81832,0.59554,0.95555,0.93323,1.03046,0.000408743,0.000408743,0.000408743
6,203.404,1.03368,1.28487,1.05708,0.80014,0.79941,0.86107,0.64373,0.87893,0.84148,0.98523,0.000406679,0.000406679,0.000406679
7,236.632,1.02166,1.20558,1.05292,0.79911,0.79849,0.86399,0.64172,0.90178,0.78953,0.98934,0.000404615,0.000404615,0.000404615
8,269.542,1.01657,1.12683,1.05845,0.82679,0.88206,0.92751,0.70278,0.87264,0.72976,0.99282,0.000402551,0.000402551,0.000402551
9,302.59,0.99776,1.06511,1.05097,0.87524,0.8783,0.92771,0.70683,0.86615,0.67129,0.98668,0.000400487,0.000400487,0.000400487
10,335.539,0.98398,1.00037,1.04789,0.88717,0.88285,0.93106,0.70735,0.86708,0.66743,0.99399,0.000398423,0.000398423,0.000398423
11,368.627,0.97509,0.94611,1.03927,0.8735,0.89678,0.94185,0.72082,0.84575,0.65388,0.99293,0.000396358,0.000396358,0.000396358
12,401.489,0.97006,0.93897,1.03666,0.89297,0.88147,0.93412,0.71818,0.85094,0.65294,0.99657,0.000394294,0.000394294,0.000394294
13,434.297,0.95317,0.87422,1.03603,0.88565,0.89653,0.94071,0.72678,0.83588,0.62793,0.97684,0.00039223,0.00039223,0.00039223
14,467.237,0.94098,0.84653,1.02604,0.90223,0.91024,0.94447,0.72777,0.83872,0.58862,0.97776,0.000390166,0.000390166,0.000390166
15,500.768,0.94087,0.81849,1.03123,0.90661,0.90546,0.94758,0.73589,0.82881,0.5794,0.96786,0.000388102,0.000388102,0.000388102
16,533.619,0.93785,0.80353,1.02746,0.92009,0.90668,0.95662,0.74462,0.83179,0.56432,0.98539,0.000386038,0.000386038,0.000386038
17,566.794,0.92759,0.77491,1.02838,0.91741,0.91236,0.95945,0.74665,0.82748,0.56536,0.97487,0.000383974,0.000383974,0.000383974
18,599.629,0.92225,0.75952,1.02052,0.9185,0.91954,0.96104,0.73135,0.85793,0.56477,1.00785,0.000381909,0.000381909,0.000381909
19,632.54,0.91465,0.72977,1.02485,0.94664,0.90894,0.96197,0.75259,0.81162,0.52805,0.97783,0.000379845,0.000379845,0.000379845
20,665.324,0.91599,0.71389,1.02361,0.94298,0.91258,0.96332,0.75261,0.82427,0.51676,0.98182,0.000377781,0.000377781,0.000377781
21,698.161,0.9071,0.7061,1.0166,0.93721,0.93083,0.97041,0.76103,0.81033,0.5053,0.97237,0.000375717,0.000375717,0.000375717
22,731.069,0.89826,0.69165,1.00943,0.95092,0.92488,0.97486,0.75935,0.81146,0.50272,0.97863,0.000373653,0.000373653,0.000373653
23,763.864,0.89461,0.6814,1.01559,0.94837,0.9429,0.97338,0.75677,0.81207,0.49648,0.98521,0.000371589,0.000371589,0.000371589
24,796.761,0.89822,0.67054,1.01297,0.92547,0.93072,0.96281,0.74679,0.833,0.52691,0.99014,0.000369525,0.000369525,0.000369525
25,829.657,0.9005,0.66411,1.01758,0.93244,0.9282,0.96167,0.75879,0.8051,0.50206,0.97792,0.00036746,0.00036746,0.00036746
26,863.091,0.89406,0.65832,1.01522,0.93551,0.94356,0.96799,0.76521,0.79863,0.49129,0.9758,0.000365396,0.000365396,0.000365396
27,895.967,0.87438,0.62585,1.00432,0.95665,0.92511,0.97154,0.7649,0.80559,0.47812,0.97586,0.000363332,0.000363332,0.000363332
28,929.052,0.88285,0.62673,1.00667,0.93454,0.94574,0.97149,0.76065,0.80987,0.47462,0.97452,0.000361268,0.000361268,0.000361268
29,961.995,0.87746,0.615,1.00502,0.94915,0.94786,0.9761,0.76768,0.8076,0.46652,0.98055,0.000359204,0.000359204,0.000359204
30,994.856,0.88666,0.61374,1.01331,0.95367,0.94188,0.97619,0.77082,0.79912,0.45322,0.97551,0.00035714,0.00035714,0.00035714
31,1027.63,0.87934,0.59979,1.00423,0.95437,0.92839,0.97095,0.76387,0.80026,0.46496,0.9819,0.000355076,0.000355076,0.000355076
32,1060.56,0.86756,0.58758,0.99798,0.94524,0.93332,0.97013,0.76543,0.79489,0.47787,0.98416,0.000353011,0.000353011,0.000353011
33,1093.4,0.86369,0.59561,1.00164,0.94039,0.93445,0.97011,0.76866,0.79244,0.46483,0.9691,0.000350947,0.000350947,0.000350947
34,1126.27,0.85242,0.57957,0.99248,0.94575,0.93831,0.97443,0.77111,0.78588,0.44844,0.9688,0.000348883,0.000348883,0.000348883
35,1159.01,0.85332,0.56906,0.99401,0.95191,0.9475,0.9787,0.7704,0.80984,0.45125,0.98582,0.000346819,0.000346819,0.000346819
36,1191.93,0.85702,0.57807,0.99933,0.94323,0.94365,0.96885,0.76346,0.80235,0.45592,0.97807,0.000344755,0.000344755,0.000344755
37,1225.54,0.84397,0.55798,0.99741,0.95293,0.94112,0.9745,0.77139,0.79167,0.44497,0.97517,0.000342691,0.000342691,0.000342691
38,1258.32,0.8464,0.55601,0.99232,0.94185,0.95076,0.97153,0.77491,0.78403,0.45138,0.97004,0.000340626,0.000340626,0.000340626
39,1291.44,0.85448,0.55202,0.99342,0.95047,0.93851,0.97299,0.77519,0.78646,0.455,0.96969,0.000338562,0.000338562,0.000338562
40,1324.49,0.83601,0.54966,0.99176,0.94353,0.92136,0.96309,0.74852,0.82018,0.48586,0.99809,0.000336498,0.000336498,0.000336498
41,1357.24,0.83651,0.5466,0.99177,0.94446,0.93929,0.96853,0.77247,0.77874,0.44785,0.96695,0.000334434,0.000334434,0.000334434
42,1390.06,0.83191,0.53579,0.98869,0.94609,0.95359,0.97835,0.77856,0.78167,0.42608,0.97,0.00033237,0.00033237,0.00033237
43,1422.97,0.83346,0.52858,0.98861,0.95431,0.94899,0.97526,0.77463,0.77894,0.43075,0.96554,0.000330306,0.000330306,0.000330306
44,1455.71,0.83038,0.52425,0.99044,0.95604,0.94258,0.97666,0.78267,0.77264,0.42536,0.96616,0.000328242,0.000328242,0.000328242
45,1488.64,0.82593,0.52417,0.98659,0.95082,0.95411,0.97395,0.7751,0.78571,0.42342,0.97238,0.000326177,0.000326177,0.000326177
46,1521.37,0.82894,0.51805,0.98856,0.95707,0.94771,0.97808,0.78161,0.77764,0.41903,0.97474,0.000324113,0.000324113,0.000324113
47,1554.46,0.82264,0.50974,0.98736,0.95802,0.95671,0.97871,0.78062,0.77833,0.42143,0.96802,0.000322049,0.000322049,0.000322049
48,1587.8,0.81289,0.50303,0.98499,0.95785,0.95477,0.97637,0.78152,0.78056,0.41738,0.976,0.000319985,0.000319985,0.000319985
49,1620.67,0.81557,0.50379,0.98526,0.95881,0.94939,0.96964,0.7764,0.77429,0.42068,0.97631,0.000317921,0.000317921,0.000317921
50,1653.77,0.80672,0.49687,0.97883,0.95593,0.93967,0.97605,0.77927,0.77493,0.41034,0.97134,0.000315857,0.000315857,0.000315857
51,1686.52,0.81295,0.50356,0.98308,0.95417,0.95635,0.97113,0.78049,0.77542,0.41664,0.96695,0.000313792,0.000313792,0.000313792
52,1719.27,0.81506,0.49951,0.98265,0.95852,0.95669,0.98014,0.7882,0.76427,0.40469,0.96571,0.000311728,0.000311728,0.000311728
53,1752.19,0.80493,0.48482,0.98064,0.94805,0.9555,0.97772,0.7895,0.76311,0.40363,0.96065,0.000309664,0.000309664,0.000309664
54,1785.04,0.8025,0.4833,0.97689,0.96152,0.94498,0.97395,0.78032,0.77399,0.419,0.9673,0.0003076,0.0003076,0.0003076
55,1817.88,0.80574,0.49092,0.9832,0.95215,0.9454,0.97105,0.78351,0.76421,0.41024,0.96076,0.000305536,0.000305536,0.000305536
56,1850.69,0.80209,0.48635,0.9803,0.96078,0.94286,0.97739,0.78656,0.76736,0.404,0.96597,0.000303472,0.000303472,0.000303472
57,1883.43,0.80211,0.4846,0.98085,0.95304,0.95282,0.97221,0.77409,0.78031,0.41002,0.974,0.000301408,0.000301408,0.000301408
58,1916.6,0.80061,0.48162,0.98078,0.95177,0.95075,0.9702,0.78416,0.76439,0.40928,0.96594,0.000299343,0.000299343,0.000299343
59,1949.83,0.79954,0.47442,0.97644,0.96314,0.94855,0.97572,0.78502,0.76178,0.3941,0.96692,0.000297279,0.000297279,0.000297279
60,1982.76,0.80119,0.47679,0.97997,0.95598,0.95812,0.9823,0.78891,0.76583,0.38903,0.96567,0.000295215,0.000295215,0.000295215
61,2015.83,0.79166,0.47623,0.98089,0.96031,0.9592,0.97051,0.78362,0.75799,0.40119,0.96446,0.000293151,0.000293151,0.000293151
62,2048.74,0.78821,0.4751,0.97966,0.95902,0.9529,0.97047,0.78194,0.76282,0.40165,0.96905,0.000291087,0.000291087,0.000291087
63,2081.62,0.79355,0.47699,0.97595,0.97286,0.95436,0.98123,0.79015,0.77053,0.38854,0.97237,0.000289023,0.000289023,0.000289023
64,2114.45,0.78558,0.4591,0.97677,0.96286,0.95627,0.97803,0.78512,0.76948,0.39684,0.97604,0.000286959,0.000286959,0.000286959
65,2147.36,0.78077,0.4554,0.96949,0.9604,0.95619,0.98179,0.7941,0.755,0.38661,0.96497,0.000284894,0.000284894,0.000284894
66,2180.3,0.78995,0.46574,0.97684,0.96069,0.96006,0.97721,0.78712,0.76509,0.39658,0.97028,0.00028283,0.00028283,0.00028283
67,2213.09,0.77193,0.44575,0.96506,0.94729,0.95552,0.9731,0.78962,0.75322,0.3953,0.96163,0.000280766,0.000280766,0.000280766
68,2245.97,0.7868,0.46267,0.97469,0.96592,0.95463,0.97696,0.78243,0.77116,0.3931,0.97631,0.000278702,0.000278702,0.000278702
69,2279.07,0.77364,0.44621,0.97051,0.95984,0.95846,0.97203,0.78506,0.75834,0.38981,0.97036,0.000276638,0.000276638,0.000276638
70,2312.15,0.77444,0.4517,0.97289,0.96279,0.96102,0.9752,0.79201,0.75648,0.39192,0.96373,0.000274574,0.000274574,0.000274574
71,2345.13,0.7764,0.44598,0.97048,0.95658,0.96601,0.97651,0.79261,0.74967,0.38787,0.96346,0.000272509,0.000272509,0.000272509
72,2378.24,0.76818,0.44707,0.96488,0.95887,0.96189,0.97358,0.7884,0.74663,0.39022,0.96172,0.000270445,0.000270445,0.000270445
73,2411.23,0.76484,0.44304,0.96469,0.95747,0.95693,0.97747,0.79414,0.74842,0.3845,0.96407,0.000268381,0.000268381,0.000268381
74,2443.99,0.77094,0.44357,0.96443,0.94994,0.95396,0.97721,0.79063,0.75209,0.39522,0.96442,0.000266317,0.000266317,0.000266317
75,2476.83,0.76566,0.44385,0.96532,0.95993,0.95802,0.9815,0.79711,0.7555,0.37881,0.96462,0.000264253,0.000264253,0.000264253
76,2509.61,0.76065,0.4394,0.96799,0.95948,0.96296,0.97816,0.79608,0.74289,0.37651,0.96146,0.000262189,0.000262189,0.000262189
77,2542.46,0.76451,0.43678,0.96592,0.96072,0.9495,0.97829,0.7924,0.75679,0.38365,0.96716,0.000260125,0.000260125,0.000260125
78,2575.26,0.76041,0.43143,0.96622,0.96661,0.94688,0.97779,0.79522,0.74822,0.37777,0.96316,0.00025806,0.00025806,0.00025806
79,2608.06,0.75765,0.432,0.96055,0.96113,0.9601,0.97763,0.79468,0.74511,0.37101,0.9603,0.000255996,0.000255996,0.000255996
80,2641.31,0.7653,0.43629,0.96711,0.95959,0.9659,0.98132,0.79722,0.75094,0.36922,0.96357,0.000253932,0.000253932,0.000253932
81,2674.49,0.75632,0.42899,0.9591,0.97069,0.94829,0.98302,0.80342,0.74043,0.3606,0.95632,0.000251868,0.000251868,0.000251868
82,2707.5,0.74519,0.4219,0.95408,0.96626,0.95844,0.98037,0.79965,0.74714,0.36401,0.96343,0.000249804,0.000249804,0.000249804
83,2740.39,0.75681,0.43127,0.96265,0.95991,0.96418,0.98269,0.8017,0.74627,0.36612,0.95773,0.00024774,0.00024774,0.00024774
84,2773.19,0.7434,0.41887,0.95427,0.95861,0.95088,0.97981,0.79581,0.74878,0.36902,0.96343,0.000245676,0.000245676,0.000245676
85,2806.14,0.75053,0.42357,0.95976,0.96037,0.95815,0.98041,0.79742,0.74634,0.36976,0.96007,0.000243611,0.000243611,0.000243611
86,2838.88,0.74613,0.41809,0.9596,0.97439,0.94933,0.98366,0.80104,0.74928,0.36682,0.96121,0.000241547,0.000241547,0.000241547
87,2871.77,0.73985,0.41324,0.95725,0.97039,0.95571,0.98291,0.80148,0.74616,0.36423,0.96243,0.000239483,0.000239483,0.000239483
88,2904.53,0.73827,0.41987,0.95418,0.97171,0.95803,0.98625,0.80442,0.74662,0.35722,0.95994,0.000237419,0.000237419,0.000237419
89,2937.31,0.74006,0.41609,0.9545,0.96567,0.96483,0.98324,0.79821,0.7545,0.36474,0.96719,0.000235355,0.000235355,0.000235355
90,2970.19,0.73857,0.4081,0.95379,0.97101,0.95746,0.9846,0.80462,0.74099,0.35279,0.95775,0.000233291,0.000233291,0.000233291
91,3003.19,0.73022,0.40443,0.94807,0.95839,0.96589,0.9806,0.79993,0.74504,0.36091,0.9569,0.000231226,0.000231226,0.000231226
92,3036.49,0.73699,0.4115,0.94817,0.97037,0.96205,0.98322,0.80147,0.74344,0.35506,0.95659,0.000229162,0.000229162,0.000229162
93,3069.47,0.72839,0.40248,0.94628,0.96868,0.96085,0.98293,0.79963,0.7483,0.36035,0.96159,0.000227098,0.000227098,0.000227098
94,3102.34,0.73085,0.4049,0.95375,0.95803,0.9658,0.98031,0.79831,0.74837,0.36449,0.97023,0.000225034,0.000225034,0.000225034
95,3135.18,0.72944,0.40248,0.95027,0.961,0.97001,0.98133,0.79791,0.7455,0.35973,0.9616,0.00022297,0.00022297,0.00022297
96,3168.02,0.72909,0.40574,0.95285,0.96578,0.96132,0.98274,0.80075,0.74164,0.3547,0.95909,0.000220906,0.000220906,0.000220906
97,3200.85,0.73017,0.39981,0.95515,0.96785,0.95147,0.98376,0.80377,0.73829,0.35955,0.9629,0.000218842,0.000218842,0.000218842
98,3233.66,0.72431,0.39888,0.95128,0.96387,0.9533,0.98417,0.80507,0.74404,0.35409,0.96222,0.000216777,0.000216777,0.000216777
99,3266.45,0.72106,0.39896,0.94795,0.95505,0.96812,0.98362,0.80151,0.74375,0.35721,0.96125,0.000214713,0.000214713,0.000214713
100,3299.2,0.71941,0.3994,0.95171,0.96372,0.95846,0.98211,0.80368,0.74183,0.35773,0.96329,0.000212649,0.000212649,0.000212649
